4/5 14:24:41.807  SPELL_PERIODIC_ENERGIZE,0x0000000000117351,"Ironmate",0x511,0x0000000000117351,"Ironmate",0x511,29131,"Bloodrage",0x1,1,1
4/5 14:24:42.879  SPELL_PERIODIC_ENERGIZE,0x0000000000117351,"Ironmate",0x511,0x0000000000117351,"Ironmate",0x511,29131,"Bloodrage",0x1,1,1
4/5 14:24:43.009  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48443,"Regrowth",0x8,1350,1350,0,nil
4/5 14:24:43.803  SPELL_PERIODIC_ENERGIZE,0x0000000000117351,"Ironmate",0x511,0x0000000000117351,"Ironmate",0x511,29131,"Bloodrage",0x1,1,1
4/5 14:24:43.803  SPELL_AURA_REMOVED,0x0000000000117351,"Ironmate",0x511,0x0000000000117351,"Ironmate",0x511,29131,"Bloodrage",0x1,BUFF
4/5 14:24:43.964  SPELL_CAST_SUCCESS,0x0000000000117351,"Ironmate",0x511,0x000000000013B13C,"Nundo",0x10512,50720,"Vigilance",0x1
4/5 14:24:43.966  SPELL_AURA_REMOVED,0x0000000000117351,"Ironmate",0x511,0x0000000000137E20,"Telta",0x512,50720,"Vigilance",0x1,BUFF
4/5 14:24:43.966  SPELL_AURA_APPLIED,0x0000000000117351,"Ironmate",0x511,0x000000000013B13C,"Nundo",0x10512,50720,"Vigilance",0x1,BUFF
4/5 14:24:44.661  SPELL_CAST_SUCCESS,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48441,"Rejuvenation",0x8
4/5 14:24:44.774  SPELL_AURA_APPLIED,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48441,"Rejuvenation",0x8,BUFF
4/5 14:24:45.976  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48443,"Regrowth",0x8,1350,1350,0,nil
4/5 14:24:46.073  SPELL_CAST_SUCCESS,0x0000000000160F5B,"Histera",0x512,0x0000000000000000,nil,0x80000000,57623,"Horn of Winter",0x1
4/5 14:24:46.079  SPELL_AURA_REFRESH,0x0000000000160F5B,"Histera",0x512,0x0000000000160F5B,"Histera",0x512,57623,"Horn of Winter",0x1,BUFF
4/5 14:24:46.079  SPELL_AURA_REFRESH,0x0000000000160F5B,"Histera",0x512,0x000000000013B13C,"Nundo",0x10512,57623,"Horn of Winter",0x1,BUFF
4/5 14:24:46.079  SPELL_AURA_REFRESH,0x0000000000160F5B,"Histera",0x512,0x0000000000137E20,"Telta",0x512,57623,"Horn of Winter",0x1,BUFF
4/5 14:24:46.079  SPELL_AURA_REFRESH,0x0000000000160F5B,"Histera",0x512,0x000000000012DC52,"Erle",0x512,57623,"Horn of Winter",0x1,BUFF
4/5 14:24:46.177  SPELL_AURA_APPLIED,0x0000000000160F5B,"Histera",0x512,0x0000000000117351,"Ironmate",0x511,57623,"Horn of Winter",0x1,BUFF
4/5 14:24:46.178  SPELL_CAST_SUCCESS,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48451,"Lifebloom",0x8
4/5 14:24:46.333  SPELL_AURA_APPLIED,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48451,"Lifebloom",0x8,BUFF
4/5 14:24:47.224  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48451,"Lifebloom",0x8,534,534,0,nil
4/5 14:24:47.641  SPELL_CAST_SUCCESS,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0x10a48,57755,"Heroic Throw",0x1
4/5 14:24:47.782  SPELL_CAST_FAILED,0x0000000000117351,"Ironmate",0x511,0x0000000000000000,nil,0x80000000,57755,"Heroic Throw",0x1,"Not yet recovered"
4/5 14:24:47.783  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48441,"Rejuvenation",0x8,2577,2577,0,nil
4/5 14:24:47.784  SPELL_ENERGIZE,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48541,"Revitalize",0x8,4,1
4/5 14:24:47.784  SPELL_AURA_APPLIED,0x000000000012DC52,"Erle",0x512,0x000000000012DC52,"Erle",0x512,67358,"Rejuvenating",0x8,BUFF
4/5 14:24:48.114  SWING_DAMAGE,0xF130005E49000018,"Dark Ranger Marrah",0xa48,0x0000000000117351,"Ironmate",0x511,296,0,1,0,0,0,nil,nil,nil
4/5 14:24:48.114  DAMAGE_SHIELD,0x0000000000117351,"Ironmate",0x511,0xF130005E49000018,"Dark Ranger Marrah",0xa48,53307,"Thorns",0x8,197,0,8,0,0,0,nil,nil,nil
4/5 14:24:48.114  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005E49000018,"Dark Ranger Marrah",0xa48,59653,"Damage Shield",0x1,227,0,1,0,0,0,nil,nil,nil
4/5 14:24:48.116  SPELL_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48503,"Living Seed",0x8,2687,2391,0,nil
4/5 14:24:48.116  SPELL_AURA_REMOVED,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48504,"Living Seed",0x8,BUFF
4/5 14:24:48.222  SPELL_DAMAGE,0x0000000000117351,"Ironmate",0x511,0xF130005D99000034,"Dragonflayer Ironhelm",0xa48,57755,"Heroic Throw",0x1,1396,0,1,0,0,0,nil,nil,nil
4/5 14:24:48.222  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48451,"Lifebloom",0x8,534,534,0,nil
4/5 14:24:48.374  SPELL_CAST_SUCCESS,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,11578,"Charge",0x1
4/5 14:24:48.384  SPELL_ENERGIZE,0x0000000000117351,"Ironmate",0x511,0x0000000000117351,"Ironmate",0x511,34846,"Charge",0x1,15,1
4/5 14:24:48.384  SPELL_AURA_APPLIED,0x0000000000117351,"Ironmate",0x511,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,7922,"Charge Stun",0x1,DEBUFF
4/5 14:24:48.385  SPELL_AURA_APPLIED,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,0xF130005D9900002C,"Dragonflayer Ironhelm",0x10a48,42771,"Second Wind",0x1,BUFF
4/5 14:24:48.422  SPELL_CAST_FAILED,0x0000000000117351,"Ironmate",0x511,0x0000000000000000,nil,0x80000000,11578,"Charge",0x1,"Not yet recovered"
4/5 14:24:48.609  SPELL_CAST_FAILED,0x0000000000117351,"Ironmate",0x511,0x0000000000000000,nil,0x80000000,11578,"Charge",0x1,"Not yet recovered"
4/5 14:24:49.018  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48443,"Regrowth",0x8,1350,1350,0,nil
4/5 14:24:49.263  SPELL_PERIODIC_HEAL,0x000000000012DC52,"Erle",0x512,0x0000000000117351,"Ironmate",0x511,48451,"Lifebloom",0x8,534,534,0,nil
